rank,score,sector,business_name,city,location_detail,address,email,phone,website,instagram,type_style,size,fit_flag,notes,pipeline_stage,next_action,source_file
165,6,Ristorante,Bloom Restaurant,Nantes,Île de Nantes,"7 rue de Pirmil, 44200 Nantes",bloom.nantes@gmail.com,+33 2 40 09 67 34,,@bloom_nantes,Végétal / Bistronomie,Indipendente,✅ Sì,"Cucina vegetale e bistronomique sull'Île de Nantes, piatti floreali fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nantes.xlsx
166,6,Ristorante,Le Grappin,Nantes,Centre,"10 rue Tournefort, 44000 Nantes",legrappin.nantes@gmail.com,+33 2 51 84 22 31,,@legrappin_nantes,Wine Bar / Tapas,Indipendente,✅ Sì,Wine bar conviviale con selezione vini naturali e tapas fotografabili,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nantes.xlsx
167,6,Ristorante,Café Atlantique,Nantes,Centre,"16 allée Duguay-Trouin, 44000 Nantes",cafeatlantique.nantes@gmail.com,+33 2 40 69 43 51,,@cafeatlantique_nantes,Café / Brasserie / Art,Indipendente,✅ Sì,"Caffè brasserie con esposizioni d'arte temporanee, atmosfera culturale",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nantes.xlsx
168,6,Ristorante,Le Gressin Nantes,Nantes,Bouffay,"4 rue Bossuet, 44000 Nantes",legressin.nantes@gmail.com,+33 2 40 89 23 42,,@legressin_nantes,Bistro / Cave à Manger,Indipendente,✅ Sì,"Cave à manger e bistrot nel Bouffay, assortimento di vins nature",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nantes.xlsx
169,6,Ristorante,Pimento,Nantes,Centre,"14 rue Jean-Jacques Rousseau, 44000 Nantes",pimento.nantes@gmail.com,+33 2 40 89 60 07,,@pimento_nantes,Spanish / Tapas,Indipendente,✅ Sì,"Tapas spagnole e pintxos nel centro, atmosfera festiva e colorata fotogenica",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nantes.xlsx
170,6,Ristorante,Les Rosiers Nantes,Nantes,Hauts-Pavés,"22 rue Bellevue, 44100 Nantes",lesrosiers.nantes@gmail.com,+33 2 40 52 30 38,,@lesrosiers_nantes,Bistro / Jardin,Indipendente,✅ Sì,"Bistrot con giardino e rose, uno dei più fotogenici di Nantes in estate",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nantes.xlsx
171,6,Ristorante,La Barge Nantes,Nantes,Île de Nantes / Loire,"Quai des Antilles, 44200 Nantes",contact@labarge-nantes.fr,+33 2 40 69 76 21,labarge-nantes.fr,@labarge_nantes,Restaurant / Péniche,Indipendente,✅ Sì,"Ristorante su chiatta sulla Loira, vista unica fotografabile",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nantes.xlsx
172,6,Ristorante,Mojo Nantes,Nantes,Centre,"23 rue du Calvaire, 44000 Nantes",mojo.nantes@gmail.com,+33 2 40 89 51 67,,@mojo_nantes,Cocktail Bar / Food,Indipendente,✅ Sì,"Cocktail bar e cucina créative, drinks colorati e décor instagrammabile",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nantes.xlsx
173,6,Ristorante,Gusto!,Nantes,Centre,"6 rue de l'Arche Sèche, 44000 Nantes",gusto.nantes@gmail.com,+33 2 40 48 20 02,,@gusto_nantes,Italian / Comptoir,Indipendente,✅ Sì,Comptoir italiano con pasta fresca e antipasti colorati nel centro,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nantes.xlsx
174,6,Ristorante,Oh! Poivrier Nantes,Nantes,Centre,"12 rue Crébillon, 44000 Nantes",ohpoivrier.nantes@gmail.com,+33 2 40 47 15 40,,@ohpoivrier_nantes,Brunch / Café / Épices,Indipendente,✅ Sì,Caffè e brunch con spezie colorate e piatti créatifs nel centro,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nantes.xlsx
175,6,Ristorante,Terre & Mer,Nantes,Centre,"8 rue de la Bâclerie, 44000 Nantes",terremer.nantes@gmail.com,+33 2 40 89 39 37,,@terreetmer_nantes,Bistro / Seasonal,Indipendente,✅ Sì,Bistrot stagionale con prodotti locaux e presentazioni pulite e fotogeniche,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nantes.xlsx
176,6,Ristorante,L'Instinct Nantes,Nantes,Centre,"15 rue des Vieilles Douves, 44000 Nantes",linstinct.nantes@gmail.com,+33 2 40 89 48 21,,@linstinct_nantes,Bistronomie / Natural Wine,Indipendente,✅ Sì,"Bistrot con vini naturali e cucina di istinto, atmosfera intima fotogenica",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nantes.xlsx
177,6,Ristorante,Nantaise Coffee,Nantes,Île de Nantes,"1 rue des Olivettes, 44200 Nantes",nantaisecoffee@gmail.com,+33 2 40 69 11 34,,@nantaisecoffee,Specialty Coffee / Brunch,Indipendente,✅ Sì,"Specialty coffee sull'Île de Nantes, latte art e bricchetti grafici fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nantes.xlsx
178,6,Ristorante,La Comédie,Nantes,Graslin,"2 place Graslin, 44000 Nantes",lacomedienantes@gmail.com,+33 2 40 69 30 45,,@lacomediefr_nantes,Café / Terrasse / Vue Théâtre,Indipendente,✅ Sì,"Caffè con terrasse di fronte al Théâtre Graslin, vista neoclassica fotografabile",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nantes.xlsx
179,6,Ristorante,La Cantine du Troquet,Nantes,Centre,"4 rue du Chapeau Rouge, 44000 Nantes",lacantinedutroquet@gmail.com,+33 2 40 35 27 60,,@lacantinedutroquet,Cuisine du Marché / Ardoise,Indipendente,✅ Sì,"Cantine con lavagna giornaliera e vini al calice, atmosfera bobo-chic",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nantes.xlsx
180,6,Ristorante,Soléa Nantes,Nantes,Hauts-Pavés,"11 rue de Coulmiers, 44000 Nantes",solea.nantes@gmail.com,+33 2 40 76 38 09,,@solea_nantes,Méditerranéen / Soleil,Indipendente,✅ Sì,"Cucina méditéranéenne con colori del Sud, sala luminosa e piatti vivaci",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nantes.xlsx
181,6,Ristorante,Le Plongeoir,Nice,Rocher / Bord de Mer,"2 blvd Franck Pilatte, 06300 Nice",contact@le-plongeoir.com,+33 4 93 89 39 16,le-plongeoir.com,@le_plongeoir,Restaurant / Bar / Vue Mer,Indipendente,✅ Sì,"Ristorante su piattaforma sul mare, uno dei più fotografati della Costa Azzurra",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
182,6,Ristorante,Le Canon,Nice,Vieux-Nice,"23 rue Meyerbeer, 06000 Nice",contact@lecanon-nice.fr,+33 4 93 79 09 24,lecanon-nice.fr,@lecanon_nice,Natural Wine / Cuisine du Marché,Indipendente,✅ Sì,"Wine bar naturel e cucina di mercato, uno dei migliori del momento a Nizza",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
183,6,Ristorante,Olive et Artichaut,Nice,Vieux-Nice,"6 rue Sainte-Réparate, 06300 Nice",contact@oliveetartichaut.com,+33 4 89 14 97 51,oliveetartichaut.com,@oliveetartichaut,Cuisine Niçoise Moderne,Indipendente,✅ Sì,Cucina niçoise moderna nel cuore del Vieux-Nice con prodotti locali fotogenici,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
184,6,Ristorante,JAN Restaurant,Nice,Musiciens,"12 rue Lascaris, 06000 Nice",contact@restaurantjan.com,+33 4 97 19 32 23,restaurantjan.com,@jan_restaurant,South African / Gastronomique,Indipendente,✅ Sì,"Chef sudafricano premiato, cucina gastronomica con influenze africane",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
185,6,Ristorante,Le Séjour Café,Nice,Vieux-Nice,"13 rue des Ponchettes, 06300 Nice",contact@lesejourcafe.fr,+33 4 93 62 50 72,lesejourcafe.fr,@lesejourcafe,Café / Brunch / Rosé,Indipendente,✅ Sì,"Café con terrasse affacciata sul mare nel Vieux-Nice, rosé e vista panoramica",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
186,6,Ristorante,La Part des Anges,Nice,Vieux-Nice,"17 rue Gubernatis, 06000 Nice",contact@cave-lapartdesanges.com,+33 4 93 62 69 80,cave-lapartdesanges.com,@lapartdesanges_nice,Cave à Manger / Natural Wine,Indipendente,✅ Sì,"Enoteca e bistrot con 400 vini naturali, muri di bottiglie fotografabili",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
187,6,Ristorante,Kékou,Nice,Promenade,"5 rue Halévy, 06000 Nice",kekou.nice@gmail.com,+33 4 93 87 16 77,,@kekou_nice,Café / Brunch / Coloré,Indipendente,✅ Sì,"Café brunch vicino alla Promenade, açaï bowl e smoothie coloratissimi",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
188,6,Ristorante,Noosh Nice,Nice,Centre,"23 avenue Georges Clémenceau, 06000 Nice",noosh.nice@gmail.com,+33 4 93 16 15 49,,@noosh_nice,Healthy / Bowls / Café,Indipendente,✅ Sì,"Bowls sane e colorate nel centro di Nizza, molto instagrammabile",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
189,6,Ristorante,La Zucca Magica,Nice,Vieux-Port,"4bis quai Papacino, 06300 Nice",contact@lazuccamagica.com,+33 4 93 56 25 27,lazuccamagica.com,@lazuccamagica_nice,Végétarien / Méditerranéen,Indipendente,✅ Sì,Ristorante vegetariano sul porto con zucche decorative e atmosfera magica,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
190,6,Ristorante,Comptoir de l'Olive,Nice,Vieux-Nice,"7 rue du Marché, 06300 Nice",contact@comptoirdelolive.fr,+33 4 93 13 50 30,comptoirdelolive.fr,@comptoirdelolive,Épicerie Fine / Dégustation,Indipendente,✅ Sì,"Épicerie con degustazione di olive e prodotti méditerranéens, colori da foto",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
191,6,Ristorante,Pasta Basta,Nice,Vieux-Nice,"18 rue de la Préfecture, 06300 Nice",pastabasta.nice@gmail.com,+33 4 93 80 03 57,,@pastabasta_nice,Italian / Pasta Fraîche,Indipendente,✅ Sì,"Pasta fresca artigianale nel Vieux-Nice, colorata esposizione di tagliatelle",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
192,6,Ristorante,Les Distilleries Idéales,Nice,Vieux-Nice,"24 rue de la Préfecture, 06300 Nice",distilleries.nice@gmail.com,+33 4 93 62 10 66,,@lesdistilleries_nice,Café / Pastis / Apéro,Indipendente,✅ Sì,"Bar storico nel Vieux-Nice, pastis e aperitivo in atmosfera authentica",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
193,6,Ristorante,Mochi Nice,Nice,Centre,"18 rue de France, 06000 Nice",mochiniceofficial@gmail.com,+33 4 93 87 14 14,,@mochi_nice,Japanese / Mochi Desserts,Indipendente,✅ Sì,"Dessert giapponesi mochi in tutti i colori, vetrina photogenic",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
194,6,Ristorante,Babel Babel Nice,Nice,Centre,"9 rue des Ponchettes, 06300 Nice",babelbabel.nice@gmail.com,+33 4 93 85 48 27,,@babelbabel_nice,Brunch / Café Coloré,Indipendente,✅ Sì,"Café e brunch colorato con menu scritto su blackboard, interior bohémien",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
195,6,Ristorante,Pão Pão Nice,Nice,Centre,"4 rue de la Buffa, 06000 Nice",paopao.nice@gmail.com,+33 4 93 87 76 87,,@paopao_nice,Portuguese / Pastéis / Café,Indipendente,✅ Sì,"Pasticceria portoghese con pastéis de nata caldi, coda e odori fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
196,6,Ristorante,Le Coco Rico,Nice,Vieux-Nice / Cours Saleya,"20 cours Saleya, 06300 Nice",lecoco.nice@gmail.com,+33 4 93 14 93 46,,@lecoco_nice,Café / Marché Cours Saleya,Indipendente,✅ Sì,"Caffè sul famoso Cours Saleya, fiori del mercato e atmosfera provençale",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
197,6,Ristorante,Peixes Restaurant,Nice,Vieux-Nice,"28 rue de la Préfecture, 06300 Nice",peixes.nice@gmail.com,+33 4 93 62 28 27,,@peixes_nice,Seafood / Fish & Chips,Indipendente,✅ Sì,"Bar a pesce nel Vieux-Nice, frittura di pesce e tavolini fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
198,6,Ristorante,Azur 54,Nice,Promenade,"54 promenade des Anglais, 06000 Nice",azur54.nice@gmail.com,+33 4 93 88 54 54,,@azur54_nice,Restaurant / Vue Mer,Indipendente,✅ Sì,"Ristorante con terrasse direttamente sulla Promenade, Méditerranée a scatto",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
199,6,Ristorante,L'Oliveto,Nice,Cimiez,"5 ave Aimée Laure, 06000 Nice",loliveto.nice@gmail.com,+33 4 93 53 94 37,,@loliveto_nice,Mediterranean / Garden,Indipendente,✅ Sì,"Ristorante nel giardino di Cimiez, olivi centenari e atmosfera fotografabile",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
200,6,Ristorante,Pink Beach Club Nice,Nice,Promenade,"15 promenade des Anglais, 06000 Nice",contact@pinkbeachclub.fr,+33 4 92 00 55 55,,@pinkbeachclub_nice,Beach Club / Restaurant,Indipendente,✅ Sì,"Beach club rosa sulla Promenade, lettini e cocktail instagrammabili",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
201,6,Ristorante,L'Amandier de Monaco Nice,Nice,Vieux-Port,"1 quai des deux Emmanuel, 06300 Nice",amandier.nice@gmail.com,+33 4 93 89 54 02,,@lamandier_nice,Niçoise / Provençale,Indipendente,✅ Sì,"Cucina provençale nel porto del Vieux-Nice, terrasse vista barche da foto",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
202,6,Ristorante,Paloma Beach,Nice,Cap Ferrat,"Avenue Semeria, 06230 Saint-Jean-Cap-Ferrat",contact@paloma-beach.com,+33 4 93 01 64 71,paloma-beach.com,@palomabeachrestaurant,Beach Restaurant / Gastronomique,Indipendente,✅ Sì,"Spiaggia privata gastronomique a Cap Ferrat, tavoli sulla riva fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
203,6,Ristorante,La Langouste Beaulieu,Nice,Beaulieu-sur-Mer,"1 blvd du Maréchal Joffre, 06310 Beaulieu-sur-Mer",contact@lalangouste.com,+33 4 93 01 00 00,lalangouste.com,@lalangouste_beaulieu,Seafood / Vue Mer,Indipendente,✅ Sì,"Astaci e aragoste sul porto di Beaulieu, terrasse sull'acqua fotografabile",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
204,6,Ristorante,Les Garçons Nice,Nice,Centre,"10 rue des Ponchettes, 06300 Nice",lesgarcons.nice@gmail.com,+33 4 93 80 40 27,,@lesgarcons_nice,Bistro / Natural Wine,Indipendente,✅ Sì,"Bistrot naturel vicino alla Promenade, selezione di vins nature fotogenici",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
205,6,Ristorante,Pink Mamma Nice,Nice,Musiciens,"2 rue des Ponchettes, 06300 Nice",nice@bigmammagroup.com,+33 4 93 80 10 50,bigmammagroup.com,@pinkmamma_nice,Italian / Instagrammable,Piccola catena,✅ Sì,"Ristorante italiano Big Mamma Group, décor rosa floreale super instagrammabile",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
206,6,Ristorante,SkyBar Nice,Nice,Musiciens,"1 blvd Victor Hugo, 06000 Nice",contact@skybarnnice.fr,+33 4 93 88 26 98,,@skybar_nice,Rooftop Bar / Cocktails,Indipendente,✅ Sì,"Rooftop bar con vista panoramica su Nizza e il mare, aperitivi da foto",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Nice.xlsx
207,6,Ristorante,Breizh Café Le Marais,Paris,75003,109 Rue Vieille du Temple,contact@breizhcafe.com,+33 1 42 72 13 77,breizhcafe.com,@breizhcafe,Crêperie / Bretagne-Japon,Indipendente,✅ Sì,"Molto instagrammabile, clientela giovane",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
208,6,Ristorante,Breizh Café Batignolles,Paris,75017,Rue Legendre,creperie.paris17@breizhcafe.com,+33 1 40 07 11 69,breizhcafe.com,@breizhcafe,Crêperie / Bretagna-Japon,Piccola catena,✅ Sì,"Clientela trendy, ideale per content creation",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
209,6,Ristorante,Le Choupinet,Paris,75006,58 Boulevard Saint-Michel,contact@lechoupinet.com,+33 1 42 03 09 93,lechoupinet.com,@lechoupinet,Brasserie / Café,Indipendente,✅ Sì,"Decor rattan, terrasse Luxembourg, molto fotogenico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
210,6,Ristorante,Dar Mima,Paris,75005,1 Rue des Fossés Saint-Bernard (IMA Rooftop),contact@darmima-restaurant.com,+33 1 85 14 79 25,darmima-restaurant.com,@darmima_paris,Oriental / Marocchino,Indipendente,✅ Sì,"Rooftop con vista Notre-Dame, super instagrammabile",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
211,6,Ristorante,SORA Restaurant,Paris,75116,70 Rue de Longchamp,contact@sora-restaurant.com,+33 1 45 62 50 75,sora-restaurant.com,@sora_restaurant_paris,Giapponese / Fusion,Indipendente,✅ Sì,"Elegante, design curato, clientela premium",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
212,6,Ristorante,Bouillon Pigalle,Paris,75018,22 Boulevard Clichy,reservation@bouillonlesite.com,+33 7 81 51 83 10,bouillonlesite.com,@bouillonpigalle,Brasserie francese classica,Piccola catena,✅ Sì,"Trendy, prezzi accessibili, molto fotografato",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
213,6,Ristorante,Mokonuts,Paris,75011,5 Rue Saint-Bernard,reservations@mokonuts.com,+33 9 80 81 82 85,mokonuts.com,@mokonuts,Fusion / Colazione,Indipendente,✅ Sì,"Famoso per cookies, brunch cult, clientela foodie",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
214,6,Ristorante,Derrière,Paris,75003,69 Rue des Gravilliers,evenements@gabrielledestrees.com,+33 1 44 61 91 95,derriere-resto.com,@restaurantderriere,Francese / Concept,Indipendente,✅ Sì,"Appartamento nascosto, super instagrammabile",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
215,6,Ristorante,Le Mary Celeste,Paris,75003,1 Rue Commines,reservations@lemaryceleste.com,+33 1 36 38 04 72,lemaryceleste.com,@lemaryceleste,Bar à manger / Cocktail,Gruppo Quixotic,✅ Sì,"Natural wine, oysters, cocktail bar cult",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
216,6,Ristorante,Clown Bar,Paris,75011,114 Rue Amelot,gestion@clownbar.fr,+33 1 43 55 87 35,clownbar.fr,@clownbarparis,Bistrot gastronomico,Indipendente,✅ Sì,"Décor Belle Époque, molto fotogenico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
217,6,Ristorante,Double Dragon,Paris,75011,52 Rue Saint-Maur,Charlene@restoreve.com,+33 1 71 32 41 95,doubledragonparis.com,@doubledragon_paris,Pan-asiatico,Indipendente,✅ Sì,"Fusion asiatica, murales Instagram-worthy",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
218,6,Ristorante,Le Perchoir Ménilmontant,Paris,75011,14 Rue Crespin du Gast,menilmontant@leperchoir.fr,+33 1 89 71 14 61,leperchoir.fr,@leperchoir,Bar / Rooftop,Gruppo Perchoir,✅ Sì,"Rooftop iconico, vista panoramica Parigi",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
219,6,Ristorante,Le Perchoir Porte de Versailles,Paris,75015,2 Avenue de la Porte de la Plaine,pdv@leperchoir.fr,+33 1 76 35 11 80,leperchoir.fr,@leperchoir,Bar / Rooftop,Gruppo Perchoir,✅ Sì,Secondo rooftop del gruppo,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
220,6,Ristorante,Café Kitsuné,Paris,75001,51 Galerie de Montpensier (Palais Royal),customerservice@maisonkitsune.fr,+33 1 40 15 62 31,maisonkitsune.com,@cafekitsune,Café / Coffee specialty,Maison Kitsuné,✅ Sì,"Estetica curatissima, clientela moda",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
221,6,Ristorante,La REcyclerie,Paris,75018,83 Boulevard Ornano,contact@larecyclerie.com,+33 1 42 57 58 49,larecyclerie.com,@larecyclerie,Eco-resto / Concept,Indipendente,✅ Sì,"Stazione dismessa, giardino urbano, unico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
222,6,Ristorante,Verjus,Paris,75001,52 Rue de Richelieu,verjusparis@gmail.com,+33 1 42 97 54 40,verjusparis.com,@verjusparis,Americano-Francese / Wine bar,Indipendente,✅ Sì,"American-owned, tasting menu, bello esteticamente",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
223,6,Ristorante,Ten Belles,Paris,75010,10 Rue de la Grange aux Belles,info@tenbelles.com,+33 9 83 08 86 69,tenbelles.com,@tenbelles,Café / Specialty coffee,Piccola catena,✅ Sì,Famoso coffee shop Canal Saint-Martin,Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
224,6,Ristorante,Le Comptoir du Relais,Paris,75006,9 Carrefour de l'Odéon,hotelrsg@camdeborde.com,+33 1 44 27 07 97,hotel-paris-relais-saint-germain.com,@lecomptoirdurelais,Bistrot francese,Indipendente,✅ Sì,"Bistrot emblematico, Yves Camdeborde",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
225,6,Ristorante,Bistrot Paul Bert,Paris,75011,18 Rue Paul Bert,bistrotpaulbert@gmail.com,+33 1 43 72 24 01,bistrotpaulbert.fr,@bistrotpaulbert,Bistrot classico,Indipendente,✅ Sì,"Steakhouse cult, décor vintage",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
226,6,Ristorante,Semilla,Paris,75006,54 Rue de Seine,semillaparisrestaurant@gmail.com,+33 1 43 54 34 50,semillaparis.com,@semillaparis,Bistrot moderno,Indipendente,✅ Sì,"Saint-Germain trendy, molto curato",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
227,6,Ristorante,L'Ami Jean,Paris,75007,27 Rue Malar,contact@lamijean.fr,+33 1 47 05 86 89,lamijean.fr,@amijeanparis,Basco-francese,Indipendente,✅ Sì,"Stéphane Jego, autentico, molto amato",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
228,6,Ristorante,Bob's Juice Bar,Paris,75010,15 Rue Lucien Sampaix,contact@bobsjuicebar.com,+33 9 50 06 36 18,bobsjuicebar.com,@bobsjuicebar,Veggie / Healthy café,Indipendente,✅ Sì,"Cult veggie République area, très photographié",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
229,6,Ristorante,OGATA,Paris,75003,16 Rue Debelleyme,reservation@ogata.com,+33 1 80 97 76 80,ogata.com/paris,@ogata_paris,Giapponese gastronomico,Indipendente,✅ Sì,"Estetica minimalista giapponese, molto fotogenico",Da contattare,"Invio email 1 (variante A/B, vedi sales/MESSAGE_TEMPLATES.md)",SocialPerks_Restaurants_Paris.xlsx
